eid	track_name	entity_code	track_id	artist_id	artist_name	artist_genre	artist_birth_date	artist_birth_place
772	Return to Hot Chicken	m.0lxwbk	16735	2638	Yo La Tengo			
778	Speak in Rounds	m.0kqqfwp	16794	2768	Grizzly Bear			
785	Kim's Watermelon Gun	m.0mkdg8	16966	2716	The Flaming Lips			
787	Psychiatric Explorations of the Fetus With Needles	m.0mkddz	16972	2716	The Flaming Lips			
795	We March to the Beat of Indifferent Drum	m.019y272	17050	416	NOFX			
797	Apple Bed	m.0zh3j2	17072	2569	Sparklehorse			
808	Original Nlogax	m.0q2ccp	17546	2267	Boards of Canada			
818	Folk Jam	m.0lk83t	17749	2586	Pavement			
822	Till I Lost	m.0wkvr05	17791	2832	Tom Odell	Male	1990-11-24	Chichester
824	Can it Be All so Simple	m.0zc5x5	17814	2705	Wu-Tang Clan			
828	Song With a Mission	m.016wfgw	17836	2557	The Sounds			
830	Strange Nostalgia for the Future	m.0g8tmzv	17844	2584	Cut Copy			
831	Blink and You'll Miss a Revolution	m.0g8tm_9	17845	2584	Cut Copy			
843	Old to Begin	m.01bsd36	17978	2586	Pavement			
844	Transport Is Arranged	m.01bsd2s	17980	2586	Pavement			
850	Sherbet Head	m.015vjtx	18149	2267	Boards of Canada			
862	On My Shield	m.0nndz3p	18568	2866	Converge			
863	Shame in the Way	m.0q5kjxn	18569	2866	Converge			
864	Empty on the Inside	m.0rf113_	18576	2866	Converge			
865	Sadness Comes Home	m.0rf0gm1	18577	2866	Converge			
868	Young and Cold	m.0qddl0b	18692	2542	The Raveonettes			
869	Patterns of Fairytales	m.0t3wdd	18694	2353	The National			
870	Fashion Coat	m.0t3wd5	18695	2353	The National			
871	Slipping Husband	m.0t3wbf	18699	2353	The National			
872	Cardinal Song	m.0t3wb6	18700	2353	The National			
875	Theory of the Crows	m.0qh4kv	18707	2353	The National			
876	John's Star	m.0qh4kd	18709	2353	The National			
879	Doing the Unstuck	m.0lf7j8	18848	295	The Cure			
889	The Haunted Man	m.0rjphty	18989	2782	Bat for Lashes	Female	1979-10-25	Brighton
903	Randy Described Eternity	m.0lkzyb	19197	2691	Built to Spill			
909	From Safety to Where	m.0py2t9	19260	406	Joy Division			
911	Song for Myla Goldberg	m.0t90nf	19354	2940	The Decemberists			
921	Street Carp	m.0w3whk	19601	362	Deftones			
926	Convinced of the Hex	m.0f2s8z5	19646	2716	The Flaming Lips			
929	Napalm Brain/Scatter Brain	m.0x5f_4	19738	2587	DJ Shadow	Male	1972-06-29	San Jose
930	Why Hip Hop Sucks in '96	m.0n43n8	19739	2587	DJ Shadow	Male	1972-06-29	San Jose
935	At War With the Sun	m.0dqsz0t	19910	2500	The Big Pink			
946	Patty Lee	m.0dpljsc	20074	3018	Les Savy Fav			
955	Hung from the Moon	m.0f1npl9	20312	3042	Earth			
959	"Theme from ""Cheers"""	m.0ybx5vr	20423	3048	Titus Andronicus			
960	Four Score and Seven	m.0sln14l	20424	3048	Titus Andronicus			
961	A Pot in Which to Piss	m.0sj3t05	20425	3048	Titus Andronicus			
962	Wanting to Kill	m.0t_61b	20440	2492	The Knife			
966	Come to Daddy (Little Lord Faulteroy mix)	m.0zdvbl	20483	2562	Aphex Twin	Male	1971-08-18	Limerick
972	He Would Have Laughed	m.0fr_4xn	20603	2588	Deerhunter			
973	"Neither of Us	 Uncertainly"	m.0dt2gfj	20605	2588	Deerhunter			
980	Our Singer	m.0ndlqt	20673	2586	Pavement			
983	Marilyn Moore	m.0lwmrs	20718	1894	Sonic Youth			
987	Looking for Astronauts	m.0116ggk	20824	2353	The National			
990	I'm Making Eyes at You	m.0dtw_dv	20855	2498	Black Kids			
991	And I'm Up	m.0rhw3_b	20872	3075	A Place to Bury Strangers			
994	Through the Hosiery	m.0dvtlxn	20922	3026	Crystal Castles			
995	Folk Death 95	m.0175n09	20954	1871	Mogwai			
996	Glasgow Mega-Snake	m.0175mz_	20960	1871	Mogwai			
997	Best Friend's Arm	m.0lqlyw	20970	2586	Pavement			
999	The Sadman	m.0pql69	20980	2828	Slowdive			
1001	Hail and Farewell to Britain	m.0dxlsp9	20994	1551	Type O Negative			
1002	An Ode to Locksmiths	m.0dy09vl	20995	1551	Type O Negative			
1017	Guns on the Roof	m.0m7kdt	21239	329	The Clash			
1018	No Queen Blues	m.0lsk9m	21317	1894	Sonic Youth			
1036	Dael	m.0dv1r93	21641	3106	Autechre			
1037	Acroyear2	m.0pmbzr	21654	3106	Autechre			
1041	Anti-Nigger Machine	m.0101z5vy	21721	2869	Public Enemy			
1049	The Kidnapper Bell	m.0m8t6l	21837	2506	Mono			
1060	Melody of Certain Three	m.0lf845	21899	2846	Blonde Redhead			
1062	Ixode	m.0nmv94g	21934	1858	Zola Jesus	Female	1989-04-11	Phoenix
1087	The End Complete V: On the Brink	m.0dmmsv5	22232	1996	Coheed and Cambria			
1088	The End Complete IV: The Road and the Damned	m.0dmmsvq	22233	1996	Coheed and Cambria			
1090	Justice In Murder	m.0dmmst_	22237	1996	Coheed and Cambria			
1115	Nation of Wusses	m.0qh5q5c	23599	3044	Infected Mushroom			
1135	Robot Rock / Oh Yeah	m.0dw_1vj	24309	320	Daft Punk			
1138	Mashin' on the Motorway	m.0mrbfy	24328	2587	DJ Shadow	Male	1972-06-29	San Jose
1144	The Power of Equality	m.0lf2v6	24400	27	Red Hot Chili Peppers			
1145	All the Rowboats	m.0jbb586	24426	3137	Regina Spektor	Female	1980-02-18	Moscow
1147	Abandon Window	m.0nnsqbb	24459	3763	Jon Hopkins	Male	1979-08-15	London
1152	Sit Back and Dream	m.0dp58jn	24596	3670	Portugal. The Man			
1159	The Village of Dwarves	m.0ftbp9x	24850	3885	Rhapsody			
1161	March of Mephisto	m.011gcbb	24902	3916	Kamelot			
1168	Love Out of Lust	m.0gdz764	25025	3975	Lykke Li	Female	1986-03-18	Sofia church parish
1171	Reeling the Liars In	m.0fy38yw	25063	3999	Swans			
1176	The Road Is a Grey Tape	m.0dr7nfz	25262	3716	Max Richter	Male	1966-03-22	Hamelin
1177	H in New England	m.0dr7nff	25268	3716	Max Richter	Male	1966-03-22	Hamelin
1180	Web of Deception	m.0nmr5nn	25300	4101	Thievery Corporation			
1203	Garands	m.0g6g9jr	25817	4173	Young the Giant			
1209	Du schreibst Geschichte	m.01d37np	25987	4205	Madsen			
1214	Biloxi Parish	m.0k1rjl3	26067	4227	The Gaslight Anthem			
1217	Here Comes My Man	m.0k1rjld	26073	4227	The Gaslight Anthem			
1224	Yellow Cat (Slash) Red Cat	m.0xqsjl	26218	4276	Say Anything			
1240	40 Mark Strasse	m.0j6wrm6	26559	4370	The Shins			
1242	Lonely Road to Absolution	m.0txx71x	26575	4377	Billy Talent			
1260	Gentle Sons	m.0dmfjr0	26931	4047	The Pains of Being Pure At Heart			
1269	Key Entity Extraction III: Vic the Butcher	m.0q5kj08	27162	1996	Coheed and Cambria			
1273	Key Entity Extraction I: Domino the Destitute	m.0rgctmd	27250	1996	Coheed and Cambria			
1274	Swallowed Up by the Ocean	m.0tsgn6c	27253	4377	Billy Talent			
1278	Rize of the Fenix	m.0j6wnd0	27340	115	Tenacious D			
1287	In the Cold Light of Morning	m.0187m3x	27397	4081	Placebo			
1288	Evil's Sway	m.0jxn3hb	27412	4578	Japandroids	Male	1977-08-02	Naples
1295	NW Apt.	m.0frrmqw	27688	543	Band of Horses			
1308	Skip The Charades	m.0g6w305	27912	765	Cold War Kids			
1310	Fire's Highway	m.0jxn3hx	27973	4578	Japandroids	Male	1977-08-02	Naples
1312	Waltz for Pony	m.0nn3z75	27984	3881	Boy		1970-08-01	Rostock
1317	Beat and the Pulse	m.0g6ll6t	28079	2235	Austra			
1345	Isle of Her	m.0dxrzkq	28917	5041	Klaxons			
1346	Totem on the Timeline	m.0dxrzjg	28923	5041	Klaxons			
1370	Monosylabik	m.0s9zng	29313	2587	DJ Shadow	Male	1972-06-29	San Jose
1375	Leap Your Bar	m.01062zl	29351	275	John Frusciante	Male	1970-03-05	Astoria
1377	Lever Pulled	m.01062xm	29360	275	John Frusciante	Male	1970-03-05	Astoria
1379	The Age of the Understatement	m.0dmyyvf	29435	5129	The Last Shadow Puppets			
1396	Acid Turkish Bath (Shelter from the Storm)	m.0nlt0ml	29576	4035	Kasabian			
1416	Birth Of A Struggle	m.0125l7f	30094	4732	Wax Tailor	Male	1975-07-19	Vernon
1421	Jeff Wears Birkenstocks	m.0l1d8l	30144	416	NOFX			
1425	Shaking Paper	m.0nxds8	30150	240	Cat Power	Female	1972-01-21	Atlanta
1434	Quart in Session	m.0lms99	30476	416	NOFX			
1442	Again With The Subtitles	m.0nnbbby	30624	5321	Yppah	Male	1981-03-31	Houston
1448	Asian Hooker	m.0nn3vgn	30839	5384	Steel Panther			
1463	See the Sea (Blue)	m.0f1k9mh	31703	2920	Vitalic	Male	1976-01-01	Dijon
1493	Cease2xist	m.0111s6n	33012	2325	Ladytron			
1507	17 Girls In a Row	m.0nm00dx	33687	5384	Steel Panther			
1513	En Vind av Sorg	m.0mzpgv	34215	6183	Darkthrone			
1537	This Love (Will Be Your Downfall)	m.0nlhvr5	35293	4091	Ellie Goulding	Female	1986-12-30	Hereford
1550	Mike mills	m.0skq9s	35663	4726	Air	Male	1990-01-01	Kashgar
1551	Universal traveler	m.0skq9k	35664	4726	Air	Male	1990-01-01	Kashgar
1553	Afternoon Breaks	m.0g7g43g	35700	6234	Parov Stelar	Male	1974-11-27	Linz
1554	A to the K	m.0lhq7g	35779	3739	Cypress Hill			
1571	Bound To Be That Way	m.0dwv_dw	37045	6747	Do Make Say Think			
1576	Devil With The King's Card	m.0ljd37	37344	36	Machine Head			
1607	lovehatetragedy	m.0n9cwy	37955	686	Papa Roach			
1608	Life Is A Bullet	m.0189kkr	37962	686	Papa Roach			
1615	Steady Uprising	m.0srv4j	38034	3751	Apparat	Male	1978-06-27	Quedlinburg
1625	Show Me the Wrath	m.0r7_mx	38246	421	Sepultura			
1644	Child of Burning Time	m.0fc0t0z	38907	248	Slipknot			
1652	Night Time Eclipse	m.0m5601	39155	517	Stratovarius			
1659	Face Down (acoustic)	m.0dmmdvx	39638	7301	The Red Jumpsuit Apparatus			
1664	One Sweet Love	m.0drx4tb	39725	4467	Sara Bareilles	Female	1979-12-07	Eureka
1671	Baby Said	m.018vmt1	39819	4692	Hot Chip			
1676	Micronomic	m.0ydlh2	39961	7450	Lali Puna			
1681	Artificial Sun Projection	m.0f43b75	40230	7600	Scar Symmetry			
1683	Blue Eyed Fiend	m.0dntl53	40449	7396	Sonic Syndicate			
1690	Song for Dan Treacy	m.0sgynjq	40535	2590	MGMT			
1700	Panic Prone	m.0yq5rf	41070	7907	Chevelle			
1706	Pacing Death's Trail	m.016v56f	41231	171	In Flames			
1710	The Birth Of The Vampiir	m.0nmxkks	41369	8008	Dark Funeral			
1712	Blood Magick Necromance	m.0g7gx4g	41420	8014	Belphegor			
1713	Rise To Fall And Fall To Rise	m.0g7gx46	41421	8014	Belphegor			
1714	In Blood - Devour This Sanctity	m.0g6g449	41422	8014	Belphegor			
1715	Four Thrones	m.0fv4tc2	41424	8015	Watain			
1720	The Science of Noise	m.0ts_qvc	41521	7403	Dark Tranquillity			
1730	Shadow in our Blood	m.0fwt0v5	41672	7403	Dark Tranquillity			
1736	Sleepless Swans	m.0f0rc7v	41737	7598	Swallow the Sun			
1738	Digital (Did You Tell)	m.0fwr8vh	41780	508	Stone Sour			
1746	The Hell In Me	m.0sk5tgk	41964	89	Killswitch Engage			
1748	You Don't Bleed For Me	m.0s9glbb	41971	89	Killswitch Engage			
1753	Hell Is Where I Stay	m.0slqw16	42074	7644	Hypocrisy			
1754	Tales Of Thy Spineless	m.0sh0p1k	42078	7644	Hypocrisy			
1755	End of Disclosure	m.0shymv9	42079	7644	Hypocrisy			
1756	Ahura Mazdā-Aŋra Mainiuu	m.0skn8nc	42196	8358	Rotting Christ			
1758	Major Fuck Off	m.0f6btb2	42321	7042	Lifelover			
1759	Luguber Framtid	m.0fcxnc4	42323	7042	Lifelover			
1763	Nunc Stans	m.0fqz983	42409	8450	Cynic			
1770	De-Energized	m.0dtfrtf	42721	8597	After Forever			
1775	Endings and Continuations	m.0ftx8g0	42870	278	Dimmu Borgir			
1779	Sea of Whispers	m.0ds9f8t	43155	6157	Eternal Tears of Sorrow			
1782	Frozen Lakes On Mars	m.0fxqlhc	43170	7489	Ihsahn	Male	1975-10-10	Notodden Municipality
1784	Hail Mary (Piss-Soaked Genuflexion)	m.0qfjhkk	43218	2708	Marduk			
1785	Damnation's Gold	m.0q5ljkr	43219	2708	Marduk			
1787	Moonshine Delirium	m.014lhl3	43268	8800	Arcturus			
1789	King of Those Who Know	m.0fqz98b	43291	8450	Cynic			
1791	Where it Hurts	m.0fwt_hd	43310	8010	Pain of Salvation			
1793	The Sign of Prime Creation	m.0fx76hw	43345	8358	Rotting Christ			
1798	Weight of the Dead	m.0fcwzq_	43408	7598	Swallow the Sun			
1799	The Cry of Silence	m.0s528c	43410	8136	Draconian			
1807	Wings of Blackening	m.0f2qytv	43571	138	Kalmah			
1814	Nattfödd	m.0v93p_	43638	5818	Finntroll			
1815	Where the Last Wave Broke	m.0dp6zx6	43639	7395	Insomnium			
1817	A Shadowkey	m.0nmq_q4	43748	8764	Omnium Gatherum			
1833	Keravnos Kivernitos	m.0dplwgc	44014	8358	Rotting Christ			
1835	Grottans Barn	m.0v93qw	44017	5818	Finntroll			
1857	William's Tale	m.0lvmrl	44361	334	Manowar			
1862	Northern Hymn	m.0nlfkp6	44396	8960	Demonaz			
1868	Complex Terms	m.0nnq9kk	44602	8991	The Human Abstract			
1871	Filthgrinder	m.0my4qc	44678	2706	Satyricon			
1875	Les ruches malades	m.0f304gg	44719	9001	Amesoeurs			
1880	On A Stranded Shore	m.0nl5rvb	44821	6766	Amorphis			
1891	Life in a Glass House	m.0ml63p	44990	1602	Radiohead			
1895	One Bottle and a Knee Deep	m.0vyhnjs	45032	59	Children of Bodom			
1897	Dead Man's Hand on You	m.0vbrqmp	45035	59	Children of Bodom			
1898	Scream for Silence	m.0vyhl6v	45039	59	Children of Bodom			
1907	Seyn Todt In Schwartz	m.01dmvh9	45269	8014	Belphegor			
1912	Red Lenses	m.0lmb8f	45357	489	Rush	Male	1988-09-29	Tala
1917	Skald av Satans sol	m.0v5psy	45511	6183	Darkthrone			
1921	Når Sjelen Hentes Til Helvete	m.0pyqky	45601	278	Dimmu Borgir			
1923	Tortured Soul Asylum	m.0nstfy	45631	6779	Cradle of Filth			
1926	One Foul Step From The Abyss	m.0frg4kb	45654	6779	Cradle of Filth			
1937	Terror in the Mind of God	m.0dmphpy	45926	8808	Anaal Nathrakh			
1939	Shatter the Empyrean	m.0dr8qrh	45944	8808	Anaal Nathrakh			
1940	The Final Absolution	m.0dms0q6	45945	8808	Anaal Nathrakh			
1949	I'm a Marionette	m.0trngq8	46103	8933	Ghost	Male	1974-04-08	Kingston
1958	Christ Deformed	m.0dnkw8b	46208	7050	The Black Dahlia Murder			
1960	Black Valor	m.0fk1rm8	46212	7050	The Black Dahlia Murder			
1963	Bitter Reflektion	m.0dw8vz4	46225	7042	Lifelover			
1966	Mental Central Dialog	m.0dy0ydj	46240	7042	Lifelover			
1967	The Hangman of Prague	m.0_82z0	46258	2708	Marduk			
1979	"He	 the Aethyr"	m.0dplwdb	46559	8358	Rotting Christ			
1980	Into The Coven	m.0wygtj	46563	8932	Mercyful Fate			
1981	The 7th Day of July 1777	m.019cdd1	46584	9058	King Diamond	Male	1956-06-14	Copenhagen
1988	Night Of The Unborn	m.0wtjzv	46675	8932	Mercyful Fate			
1989	Final Episode (Let's Change the Channel)	m.0rf4_rx	46705	8988	Asking Alexandria			
1995	Orbital Elements	m.0flmgql	46947	8446	Obscura			
1997	The Winds They Called the Dungeon Shaker	m.0dplnf4	46967	6183	Darkthrone			
1998	Leukes renkespill (introduksjon)	m.0fqgwr0	46982	445	Burzum			
2001	Centric Flow	m.0flmgrd	47007	8446	Obscura			
2003	Fire Death and Fear	m.0fvnvwd	47041	8358	Rotting Christ			
2004	Eon Aenaos	m.0fvnvwj	47046	8358	Rotting Christ			
2005	Aealo	m.0ft1y3t	47047	8358	Rotting Christ			
2006	Satanarchrist	m.0vz3bf	47104	8808	Anaal Nathrakh			
2007	Tapestry of the Starless Abstract	m.0dxd0g1	47137	9237	Ne Obliviscaris			
2013	Running Through Woodland	m.0dyrwzr	47266	2795	Message To Bears			
2017	At The Stormy Gates Of Mist	m.0y9l5k	47314	8919	Immortal			
2018	In the Lies Where Upon You Lay	m.0r7qy0	47325	476	Mayhem			
2021	Anyone Can Dig A Hole But It Takes A Real Man To Call It Home	m.0rf2jqh	47405	7337	Underoath			
2023	Benedictine Convulsions	m.0s9lct	47439	9293	Cryptopsy			
2029	It's Darker Than You Think	m.0ymhh7	47578	6819	Carpathian Forest			
2032	Velg bort livet	m.0drnsnt	47692	8923	Taake			
2033	September omsider	m.0drnsp5	47693	8923	Taake			
2035	Lukt til Helvete	m.0drnsn7	47706	8923	Taake			
2036	Atternatt	m.0drnspr	47708	8923	Taake			
2041	Arc Of Space	m.0nk2ph	47807	1425	Bruce Dickinson	Male	1958-08-07	Worksop
2043	Traffic in the Sky	m.0tvt8v	47816	5175	Jack Johnson	Male	1975-05-18	Oahu
2045	"Hey Baby	 Here's That Song You Wanted"	m.0yc__1r	47871	6868	Blessthefall			
2048	Five Ninety	m.0nnrmb0	47880	6868	Blessthefall			
2049	Fermented Offal Discharge	m.0w2ds5	47933	9362	Necrophagist			
2055	"Reptar	 King Of The Ozone"	m.0dv8stw	48268	8773	The Devil Wears Prada			
2058	Lashed to the Slave Stick	m.0132dmf	48316	810	Nile			
2059	Cast Down the Heretic	m.0fsjj50	48318	810	Nile			
2060	Supreme Humanism of Megalomania	m.0jy4d6w	48343	810	Nile			
2061	Natural Liberation of Fear Through the Ritual Deception of Death	m.0jy4d6l	48346	810	Nile			
2062	When My Wrath Is Done	m.0jy4d69	48349	810	Nile			
2063	The Fiends Who Come to Steal the Magick of the Deceased	m.0jy4d63	48351	810	Nile			
2064	Softly She Cries	m.0rkdw4j	48455	8010	Pain of Salvation			
2070	Phosphorous Redeemer	m.0f0tw0x	48689	2708	Marduk			
2080	Tonight In Flames	m.01dnh7v	48827	6779	Cradle of Filth			
2083	Wyrmvater Glaurung	m.0q36tj	48837	8139	Summoning			
2089	In Hollow Halls Beneath the Fells	m.0lwqbg	48896	8139	Summoning			
2092	Don't Speak (I Came to Make a BANG!)	m.01d08gp	48964	9488	Eagles of Death Metal			
2094	Meaning In Tragedy	m.01315_1	48980	8890	As I Lay Dying			
2096	Let's Get Out of This Country	m.01b8fqc	49031	9496	Camera Obscura			
2102	Smoking Ruins	m.0f60rl0	49151	166	Ensiferum			
2103	Twilight Tavern	m.0dvs3lz	49155	166	Ensiferum			
2104	Love Theme From Kiss	m.0mn3ll	49159	482	Kiss			
2109	Of Two Beginnings	m.011qgm2	49226	8010	Pain of Salvation			
2114	Bitter sweet revenge	m.0qb2zc	49344	38	Kreator			
2115	Replicas of life	m.0qb2yy	49345	38	Kreator			
2116	All Of The Same Blood	m.0qb2y1	49348	38	Kreator			
2118	Jewel Throne	m.0pczd3	49364	9539	Celtic Frost			
2128	Shasta Beast	m.01d08h_	49636	9488	Eagles of Death Metal			
2132	The Scribes of Kur	m.0dq43nd	49711	9581	Melechesh			
2135	Enhver til sitt	m.0g8qpp_	49771	445	Burzum			
2143	Lovely Cup	m.0nmwn9t	49972	4162	Grouplove			
2145	Glass in the Park	m.0nnm762	49986	9494	Alex Turner	Male	1986-01-06	Sheffield
2148	"Sweet Dreams	 Sweet Cheeks"	m.0dqgmml	50003	9483	Los Campesinos!			
2150	I en hall med flesk og mjød	m.0v5ptl	50150	6183	Darkthrone			
2164	Corpses of Liberty	m.0dzlhnz	50376	38	Kreator			
2182	The Piper's Calling	m.0lvmgm	50583	384	Blind Guardian			
2185	The Sea Is a Good Place to Think of the Future	m.0fscnpt	50700	9483	Los Campesinos!			
2191	The Smile of the Sun	m.0frgb_1	50789	194	Helloween			
2198	"Eat That Up	 It's Good for You"	m.0nlfkjx	50865	4118	Two Door Cinema Club			
2208	Plain Sailing Weather	m.0sqv07v	51144	4546	Frank Turner	Male	1988-05-25	Atlantic City
2210	So Lonely Was the Ballad	m.0dmb59q	51169	9523	Jamie T	Male	1986-01-08	Wimbledon
2214	Svarte troner	m.0p8zgm	51266	445	Burzum			
2224	Anguish of Youth	m.0nm28k7	51542	203	Iced Earth			
2228	Because We're Dead	m.0dp2b18	51574	9474	Slow Club			
2258	Life Is a Long Time	m.0nlz8lx	52152	9483	Los Campesinos!			
2264	Scott Farcas Takes It On The Chin	m.0lkryk	52259	9481	Less Than Jake			
