eid	pid	name	entity	artist_name	artist_genre	artist_birth_date	artist_birth_place
135	1738	Miss the Misery	m.0rj03kg	Foo Fighters			
136	1740	Perfect Strangers	m.0n5gw6	Deep Purple			
139	1780	Windowpane	m.0ps48_	Opeth			
140	1785	Reckoning Day	m.0qy844				
141	1797	Trial of Tears	m.0lj3cx	Dream Theater			
142	1815	Soul Wars	m.0nndhj6	AWOLNATION			
143	1816	Megalithic Symphony	m.0nlp5v7	AWOLNATION			
144	1824	Hail and Kill	m.0my3w7	Manowar			
145	1838	Insurgentes	m.0fv5vqw	Steven Wilson	Male	1967-11-03	Kingston upon Thames
146	2729	Soul Bleed	m.017h8ct	Damageplan			
148	2981	Biotech Is Godzilla	m.0lqfpn	Sepultura			
149	2997	Electric Hellfire	m.0_z3jd	Black Label Society			
150	2999	Say What You Will	m.0_z3hz	Black Label Society			
151	3001	Suicide Messiah	m.0_z3gn	Black Label Society			
153	3034	New Religion	m.01dbkvp	Black Label Society			
154	3035	Forever Down	m.0_z3gw	Black Label Society			
155	3061	Read Between The Lies	m.0m73cc	Slayer			
156	3064	Slave Called Shiver	m.01cymj9	Porcupine Tree			
157	3068	Bullets Are Blind	m.0fvjggt	Kalmah			
158	3075	Changing of the Guards	m.0nqr03	Bob Dylan	Male	1941-05-24	Duluth
159	3091	Better not to Tell	m.0fvjgg7	Kalmah			
160	3094	Godeye	m.0fvjgfv	Kalmah			
161	3095	Psycho Holiday	m.0lxy7t	Pantera	Male	1964-02-03	Santiago de Querétaro
162	3098	Sex Rap	m.0z92f9	Red Hot Chili Peppers			
163	3099	Catholic School Girls Rule	m.0tyb2g	Red Hot Chili Peppers			
164	3101	Battle Ship	m.0z92dn	Red Hot Chili Peppers			
165	3103	Blackeyed Blonde	m.0z92d6	Red Hot Chili Peppers			
166	3106	Down The Slopes Of Death	m.0ns8xb	Amon Amarth			
167	3108	Versus The World	m.0ns8wx	Amon Amarth			
168	3111	Where Silent Gods Stand Guard	m.0ns8wp	Amon Amarth			
169	3114	Freaky Styley	m.0z92c_	Red Hot Chili Peppers			
170	3115	Nevermind	m.0z92cs	Red Hot Chili Peppers			
171	3117	Bloodshed	m.0ns8xs	Amon Amarth			
172	3122	Jungle Man	m.0ly9jg	Red Hot Chili Peppers			
173	3133	Sir Psycho Sexy	m.0lf2yh	Red Hot Chili Peppers			
174	3148	Fatal If Swallowed	m.012pkfb	Overkill			
175	3165	Shallow	m.012fgdg	Porcupine Tree			
177	3179	Limbs	m.01bsddd	Agalloch			
178	3181	Lesson Learned	m.0dmxk5c	Alice in Chains			
179	3187	Fire Above, Ice Below	m.01bsdf1	Agalloch			
180	3229	She's Nubs	m.0qf4mn	NOFX			
181	3230	Idiots Are Taking Over	m.0qf4mf	NOFX			
182	3242	I'm Eighteen	m.016xv64	Anthrax			
183	3256	Children of Bodom	m.0y2s04	Children of Bodom			
184	3276	Gotta Serve Somebody	m.0lhwfq	Bob Dylan	Male	1941-05-24	Duluth
185	3284	You're Bleeding	m.0l2lwp	NOFX			
186	3287	Soul Doubt	m.0l2lw0	NOFX			
187	3291	I Shall Be Released	m.014k7fn	Bob Dylan	Male	1941-05-24	Duluth
188	3304	The Great Darkness	m.0dwfktj	Arch Enemy			
189	3305	All Along the Watchtower	m.0lhwcz	Bob Dylan	Male	1941-05-24	Duluth
190	3320	Sleeping Stars	m.0z2xb4	Wintersun			
191	3324	Hate Worldwide	m.0fw3g27	Slayer			
192	3326	Animal (Fuck Like A Beast)	m.0p35j3	W.A.S.P.			
193	3336	Radioactive	m.0ftv12q	Kings of Leon			
194	3352	Veilburner	m.0q87g1f	Enslaved			
195	3353	Death in the Eyes of Dawn	m.0qbcddw	Enslaved			
196	3385	Some Weird Sin	m.01459ww	Iggy Pop	Male	1947-04-21	Muskegon
197	3407	Reeko	m.0l1d97	NOFX			
198	3409	Party Enema	m.0pyxmz	NOFX			
199	3414	Linoleum	m.0169x6b	NOFX			
200	3425	Injection	m.01c6b1s	Rise Against			
201	3432	Ah Yom	m.0nmrxdx	John Frusciante	Male	1970-03-05	Astoria
202	3442	Drones	m.01c6b2w	Rise Against			
203	3472	Lycanthrope	m.0nm7_dy	+44			
204	3474	Erotomania	m.0mx7dw	Dream Theater			
205	3483	You Take My Breath Away	m.0f2zbbd	Queen			
206	3484	Caught in a Mosh	m.0nccp2	Anthrax			
207	3497	Clash With Reality	m.0lxy8x	Pantera	Male	1964-02-03	Santiago de Querétaro
208	3498	Shattered	m.0lxy8p	Pantera	Male	1964-02-03	Santiago de Querétaro
209	3500	Heresy	m.0fy6b82	Pantera	Male	1964-02-03	Santiago de Querétaro
210	3502	Primal Concrete Sledge	m.0lxy7l	Pantera	Male	1964-02-03	Santiago de Querétaro
211	3507	No Twilight Within the Courts of the Sun	m.0fv5vp8	Steven Wilson	Male	1967-11-03	Kingston upon Thames
212	3511	Carnival Is Forever	m.0nmjzjl	Decapitated			
213	3533	Yellow Submarine	m.0l1b9g	The Beatles			
214	3534	I Am the Walrus	m.0149h8_	The Beatles			
216	3548	Oildale (Leave Me Alone)	m.0fxwbnv	Korn			
217	3554	Fall in Love With Me	m.0l1gyx	Iggy Pop	Male	1947-04-21	Muskegon
218	3555	Neighborhood Threat	m.0l1gzb	Iggy Pop	Male	1947-04-21	Muskegon
219	3557	The Gathering of the Clouds	m.0qdf2dv	Anathema			
220	3570	Ænema	m.0lfbqw	Tool			
221	3575	Remember Me Lover	m.0dv3tcl	Porcupine Tree			
222	3577	I Am Hell (Sonata in C#)	m.0nnpxy1	Machine Head			
223	3583	Isolation	m.0ncx22	Kyuss			
224	3593	Lost Control	m.012x6zc	Anathema			
225	3623	Death and All His Friends	m.05nlprb	Coldplay			
226	3635	Iron Fist	m.0py850	Motörhead			
228	3670	Vasaris	m.0f1kgnn	Alina Orlova	Female	1988-06-28	Visaginas
229	3673	Post Mortem	m.0dyfm77	God Is An Astronaut			
230	3694	Mr. Tinkertrain	m.0mysxk	Ozzy Osbourne	Male	1948-12-03	Marston Green
231	3708	You Know You're Right	m.0nft8s	Nirvana			
232	3712	Autobahn	m.0qq06m	Anberlin			
233	3743	Bicycle Race	m.0my9tb	Queen			
234	3761	Waiting In Vain	m.012x612n	Bob Marley	Male	1945-02-06	Nine Mile
235	3767	Ordinary Story	m.0pbpm1	In Flames			
236	3788	New Life	m.0128y4b	Depeche Mode			
237	3791	Reroute to Remain	m.0wy0wh	In Flames			
238	3792	Free Fall	m.0wy0yp	In Flames			
239	3813	You Were But a Ghost in My Arms	m.0n0jtc	Agalloch			
240	3860	Punch Me I Bleed	m.0149l08	Children of Bodom			
241	3879	Stormbringer	m.0lrmm5	Deep Purple			
242	3920	As Embers Dress The Sky	m.0vnvjk	Agalloch			
243	3921	Timeless	m.0nj51z	In Flames			
244	3922	Subterranean	m.0wv0xj	In Flames			
245	3934	The Suburbs (Continued)	m.0nng2fq	Arcade Fire			
246	3937	We Used to Wait	m.0__b3fy	Arcade Fire			
247	3945	Suburban War	m.0xlx_gn	Arcade Fire			
248	3951	Modern Man	m.0nl7dhx	Arcade Fire			
250	4013	The Storm Before the Calm	m.0q70hj4	Anathema			
251	4015	Severed Reality	m.0f20w9g	Warbringer			
252	4025	Be Still and Know	m.0nm_hjq	Machine Head			
253	4037	Over the Mountain	m.0vtmwx	Ozzy Osbourne	Male	1948-12-03	Marston Green
254	4045	Warheart	m.0149kfg	Children of Bodom			
255	4046	Get In The Ring	m.023hpcl	Guns N' Roses			
256	4052	Rose Tattoo	m.0rf09sp	Dropkick Murphys			
257	4060	Shemhamforash	m.0g8xvvn	Behemoth			
258	4097	Jimmy the Exploder	m.0m7k2r	The White Stripes			
259	4100	M+M's	m.01649zz	blink-182			
260	4104	Feeling This	m.019bwpn	blink-182			
261	4127	Don't Trust	m.0ml5cv	Kreator			
262	4136	Metal Militia	m.0dwm6f2	Metallica			
264	4143	Angels Walk Among Us	m.0fsvfq8	Anathema			
265	4144	Summernight Horizon	m.0fsvfq4	Anathema			
266	4145	Zombie Stomp	m.0mysz9	Ozzy Osbourne	Male	1948-12-03	Marston Green
268	4200	Wake Up Dead	m.0wjcpv				
269	4203	One of the Few	m.012x703	Anathema			
270	4221	Repossession	m.0shr411	Municipal Waste			
271	4239	Love and Luxury	m.0dnt8r1	Korn			
272	4247	Gullaldr	m.0qdcklf	Burzum			
273	4261	Closure	m.0ps49n	Opeth			
274	4272	Clenching the Fists of Dissent	m.0f0bgv4	Machine Head			
275	4302	Turn It Again	m.01b7k5r	Red Hot Chili Peppers			
276	4303	Skeleton Christ	m.01d5d3n	Slayer			
277	4304	Catalyst	m.01d5d3f	Slayer			
278	4345	Hallowed Point	m.0tmr28	Slayer			
279	4346	Dead Skin Mask	m.0tmr21	Slayer			
280	4347	Expendable Youth	m.0ln0yy	Slayer			
281	4362	So Much I	m.01b7k52	Red Hot Chili Peppers			
282	4366	Wicked World	m.0lm772	Black Sabbath			
283	4376	Make You Feel Better	m.01b7k4n	Red Hot Chili Peppers			
284	4377	Readymade	m.01b7k46	Red Hot Chili Peppers			
285	4382	Desecration Smile	m.01b7k33	Red Hot Chili Peppers			
286	4383	Wet Sand	m.01bchc3	Red Hot Chili Peppers			
287	4420	Feelings	m.0ldnk3	The Offspring			
288	4459	Far Away	m.016535y	Anathema			
289	4462	Cabron	m.0n8_g7	Red Hot Chili Peppers			
290	4464	I Could Die for You	m.0m_xd5	Red Hot Chili Peppers			
291	4472	Alternative 4	m.012x6_0	Anathema			
292	4571	Hushabye	m.0dnt8rq	Korn			
293	4606	Death Will Never Conquer	m.0dr8j83	Coldplay			
294	4635	Too Much to Ask	m.0mtwpb	Avril Lavigne	Female	1984-09-27	Belleville
295	4654	Legions	m.0nqtcc	Savatage			
296	4658	Legacy of Kings	m.01bf_ch	Hammerfall			
297	4661	Glory to the Brave	m.0lv8mb	Hammerfall			
298	4679	Parasomnia	m.0dqkzh_	Riverside			
299	4685	Into the Dead Sky	m.0s4lg5	At the Gates			
300	4705	Modern Crusaders	m.0lxx6b	Enigma			
301	4706	Callas Went Away	m.0lm4lw	Enigma			
302	4732	Cold Desert	m.0dys_gj	Kings of Leon			
304	4735	Notion	m.0dys_gm	Kings of Leon			
305	4774	Twilight of the Thunder God	m.0dss033	Amon Amarth			
306	4778	Jazz Thieves	m.0dxpd1w	Depeche Mode			
308	4902	Spit It Out	m.0p8p0z	Slipknot			
309	4909	Emit Remmus	m.0n8qdv	Red Hot Chili Peppers			
310	4914	Dismiss the Cynics	m.0wy0yg	In Flames			
311	4917	Egonomic	m.0wy0y0	In Flames			
312	4918	Dawn of a New Day	m.0wy0xt	In Flames			
313	4926	Make You Smile	m.0nkyj0s	+44			
314	4928	Weatherman	m.0nlyq_9	+44			
317	4959	Rock You All Around the World	m.0dpmqlh	Judas Priest			
318	4965	Wild One	m.0f44nrj	Dio	Male	1988-05-31	Amsterdam
319	5000	Dark City	m.0f4bf3g	Machinae Supremacy			
320	5013	Summerland	m.0dmv976	Lunatic Soul			
321	5029	Weeping Willow	m.0lq92f	The Verve			
322	5058	The Metal	m.0dtn6_h	Tenacious D			
323	5070	Dream of Mirrors	m.0lj9dm	Iron Maiden			
324	5088	The Right To Go Insane	m.0dpmwqh				
325	5090	Twilight Zone	m.010nwz3	Iron Maiden			
326	5095	Genghis Khan	m.0xn617	Iron Maiden			
327	5097	Wrathchild	m.0lrtn3	Iron Maiden			
328	5110	How Many More Times	m.0bwpzt	Led Zeppelin			
329	5114	Strange News From Another Star	m.0pxrqy	Blur			
330	5117	Chinese Bombs	m.0lvqdx	Blur			
331	5126	Hole to Feed	m.0g8ttrq	Depeche Mode			
332	5137	Master of Revenge	m.0m1yds	Manowar			
333	5143	Fighting the World	m.0tk7xq	Manowar			
334	5172	Lunar Strain	m.012z54k	In Flames			
335	5188	Death at One's Elbow	m.0m0cdv	The Smiths			
336	5194	Death of a Disco Dancer	m.0m0ccj	The Smiths			
337	5203	Tragedy and Triumph	m.0nmzqmw	Iced Earth			
339	5223	Kill You	m.0f7rx2p	Dethklok			
340	5226	Blood Ocean	m.0dy69f6	Dethklok			
341	5232	Deadly Intentions	m.0vvkcl	Obituary			
343	5236	Gates to Hell	m.0yh4c1	Obituary			
344	5237	Immortal Visions	m.0mvnhm	Obituary			
345	5241	Not Of This God	m.0fvm22d	Slayer			
346	5245	Beauty Through Order	m.0fw3g2n	Slayer			
347	5249	Internal Bleeding	m.0mvngr	Obituary			
348	5258	Freaking Out	m.0lx3pp	Adema			
349	5259	Giving In	m.010z1vf	Adema			
350	5282	Introspectre	m.015njkf	Depeche Mode			
351	5294	Dreaming of Me	m.0tbjzk	Depeche Mode			
352	5342	Scars Of The Old Stream	m.0pgfb7	Anathema			
354	5361	Everwake	m.0mjb8z	Anathema			
355	5367	They (Will Always) Die	m.0pgf9l	Anathema			
356	5369	Sweet Tears	m.0pgf94	Anathema			
357	5467	Can't Stop Lovin' You	m.017y67s	Van Halen			
358	5506	Master Exploder	m.0f0dr_t	Tenacious D			
359	5538	King Of Terrors	m.0tw3cy	Symphony X			
361	5684	Taxman	m.0mlx7k	The Beatles			
362	5712	Black or White	m.0f186n4	Michael Jackson	Male	1958-08-29	Gary
363	5735	Leeches	m.016v553	In Flames			
364	5788	Are We the Waiting	m.0ypgh0	Green Day			
365	5803	Give Me Novacaine	m.0ypghg	Green Day			
366	5806	Free Will Sacrifice	m.0dyvk11	Amon Amarth			
367	5810	Dream About Me	m.012r_f1	Moby	Male	1965-09-11	Harlem
369	5838	Holidays in the Sun	m.0fqww_y	Sex Pistols			
370	5839	Bodies	m.015q_my	Sex Pistols			
371	5954	On Your Knees	m.0sqhsh	W.A.S.P.			
372	5956	I Wanna Be Somebody	m.0p35jb	W.A.S.P.			
373	5957	B.A.D.	m.0vdwxy	W.A.S.P.			
374	5961	Welcome to Jamrock	m.011wxsw	Damian Marley	Male	1978-07-21	Kingston
375	6100	Crusader	m.0n1_fx	Saxon			
376	6120	Reborn	m.0mb6br	Slayer			
377	6125	Altar Of Sacrifice	m.0mb6b2	Slayer			
378	6145	Merciless Cult	m.010g6_d	DIR EN GREY			
379	6154	I've Seen Enough	m.0dss7x0	Cold War Kids			
380	6163	Ruf In Den Wind	m.0dth45q	Equilibrium			
381	6193	Heiderauche	m.0dth45y	Equilibrium			
382	6198	Blut im Auge	m.0dth456	Equilibrium			
383	6238	Sassafras Roots	m.0pr8t8	Green Day			
384	6286	Meat Is Murder	m.0ngybp	The Smiths			
385	6383	Dirty Woman	m.0nmm6lv	Pain			
387	6419	My Heart Is an Apple	m.0x0mtg	Arcade Fire			
388	6421	I'm Sleeping in a Submarine	m.0dzmlb6	Arcade Fire			
390	6424	Patricia The Stripper	m.0f1y84s	The Wombats			
391	6452	Rusholme Ruffians	m.0ngy94	The Smiths			
392	6455	I Want the One I Can't Have	m.0ngy9c	The Smiths			
393	6457	New Damage	m.0l1k_c	Soundgarden			
394	6474	Stones of Sorrow	m.0l6v28	Nile			
395	6533	Without The Money	m.0jxnh73	The Hives			
396	6573	Ride the Dragon	m.0l_lpk	Manowar			
397	6633	Gargarismo	m.01d3vpp	Truckfighters			
398	6634	Desert Cruiser	m.01d3vpg	Truckfighters			
399	6660	Scavenger of Human Sorrow	m.0lyqb9	Death			
400	6661	Painkiller	m.0dvdfxj	Death			
401	6662	A Moment of Clarity	m.0lyqcv	Death			
402	6663	To Forgive Is To Suffer	m.0qk94p	Death			
403	6665	Story To Tell	m.0lyqbz	Death			
404	6691	Beat on the Brat	m.0mrmxg	Ramones			
405	6742	A Day in the Life	m.0dv7cgt	The Beatles			
406	6801	Map of the Problematique	m.01cb_gz	Muse			
407	6809	Unit 731	m.0fv05g8	Slayer			
408	6814	Youthanasia	m.0lq6n3				
410	6870	Weekend Warrior	m.0mf130	Iron Maiden			
411	6873	Chains of Misery	m.0mksc_	Iron Maiden			
414	6902	No Fear for the Setting Sun	m.0dyvk1g	Amon Amarth			
415	6935	The Lost Child	m.0q87h11	Anathema			
416	6953	Uncle Jonny	m.01f0h7g	The Killers			
417	6968	Burns Like a Buzzsaw Blade	m.0txmj4	Annihilator			
418	6997	Arlandria	m.0nncsyj	Foo Fighters			
419	7052	My List	m.01f0h7x	The Killers			
420	7111	Smile Like You Mean It	m.010hth2	The Killers			
421	7211	Nothing Left to Say / Rocks	m.0sjw5pb	Imagine Dragons			
422	7347	Tir Nan Og	m.0dp9q6g	Alcest			
423	7374	Caught Somewhere In Time	m.0lknr5	Iron Maiden			
424	7375	Alexander the Great	m.0lknsq	Iron Maiden			
425	7387	Whose Life (Is It Anyways?)	m.0njczsd				
426	7397	Lollipop (Candyman)	m.0mnr2t	Aqua			
427	7434	Not Now	m.019_0tr	blink-182			
428	7441	Awaken	m.0dql0hw	Dethklok			
429	7450	Forever Today	m.0vynjv	Tiësto	Male	1969-01-17	Breda
430	7479	Never Dead	m.0nm74bn				
432	7554	Slicker Drips	m.0m7k5t	The White Stripes			
433	7555	Little People	m.0m7k5l	The White Stripes			
434	7560	Sink the Pink	m.0n34f7	AC/DC			
435	7564	D.T.	m.01f7cdy	AC/DC			
436	7568	Back in Business	m.01f7cd1	AC/DC			
437	7575	Night Prowler	m.01f7bmk	AC/DC			
438	7580	Beating Around the Bush	m.010j8zk	AC/DC			
440	7695	Nick of Time	m.01f7chk	AC/DC			
441	7730	Move Over	m.0lmvm0	Spice Girls			
442	7843	Sudden Death	m.0j2grhl				
443	7879	Fire Your Guns	m.0lqx4r	AC/DC			
444	7928	AGITATED SCREAMS OF MAGGOTS	m.0dmqzqj	DIR EN GREY			
445	8061	Into the Lungs of Hell	m.0xt3lg				
446	8250	We Called It America	m.0dpmpfv	NOFX			
447	8256	First Call	m.0dpmphr	NOFX			
448	8261	Suits and Ladders	m.0dpmpg6	NOFX			
449	8345	Use the Man	m.0y9qrp				
450	8347	Failures	m.0z18gq	Joy Division			
451	8360	Restless Oblivion	m.0rtrfk	Anathema			
452	8412	The Disintegrators	m.0m0s8r				
453	8510	Stay in the Shade	m.0swdkz	José González	Male	1978-07-31	Gothenburg
454	8520	Defender	m.0my3v4	Manowar			
455	8628	That Famous Ol' Spiced	m.0dpccw9	Alestorm			
456	8662	Climbatize	m.0lddh6	The Prodigy			
457	8673	Jazz Police	m.0lzrqx	Leonard Cohen	Male	1934-09-21	Montreal
458	8699	Everybody Knows	m.0lnsl1	Leonard Cohen	Male	1934-09-21	Montreal
459	8758	Cry For Eternity	m.018b0tk	DragonForce			
460	8761	Storming The Burning Fields	m.018b0sx	DragonForce			
461	8762	Revolution Deathsquad	m.018b0sp	DragonForce			
462	8772	Die By The Sword	m.0q9cy69	DragonForce			
463	8790	Wings Of Liberty	m.0rf2h2f	DragonForce			
464	8792	Wildest Dreams	m.0rh_gd	Iron Maiden			
465	9013	The Gods Made Heavy Metal	m.0qwbtr	Manowar			
466	9129	Magic Dance	m.0w3xt_	David Bowie	Male	1947-01-08	Brixton
467	9140	Ghosts Of War	m.0m73c4	Slayer			
468	9141	Cleanse The Soul	m.0m73cl	Slayer			
469	9276	How Heavy This Axe	m.0dt29n5	The Sword			
470	9278	The Sundering	m.0dt29mg	The Sword			
471	9282	Iron Swan	m.018tp_t	The Sword			
473	9471	In The Court Of Jarisleif	m.0f2d6d6	Turisas			
474	9509	Fight Until We Die	m.0mrdn4	Manowar			
475	9510	House of Death	m.0mrdmy	Manowar			
476	9513	An American Trilogy	m.01513yr	Manowar			
478	9516	Nessun Dorma	m.0mrdld	Manowar			
479	9521	Brighter Than a Thousand Suns	m.01d29x_	Iron Maiden			
480	9562	One Shot at Glory	m.0p66v0	Judas Priest			
481	9571	Take a Bow	m.01cb_g9	Muse			
482	9579	Kill With Power	m.0l5pj1	Manowar			
483	9615	Lord of Light	m.01d29z9	Iron Maiden			
