eid	name	entity	artist_name	artist_genre	artist_birth_date	artist_birth_place
29	We Got Used To Us	 m.0sjt5t_	Riverside			
30	Little James	 m.0tgfcc	Oasis			
31	Act of Desperation	 m.0gdtjc7	Amaranthe			
32	Unholy Confessions	 m.0z3hbh	Avenged Sevenfold			
34	Triple Corpse Hammerblow	 m.0p6qqv	Children of Bodom			
35	Sixpounder	 m.0xckqf	Children of Bodom			
37	Only Child	 m.0ft8vhj	Steven Wilson	Male	1967-11-03	Kingston upon Thames
40	Kickapoo	 m.0dr08gk	Tenacious D			
41	Lonely Is the Word	 m.0lgrbl	Black Sabbath			
42	Blinded in Chains	 m.016ts5h	Avenged Sevenfold			
43	Burn It Down	 m.019yc4k	Avenged Sevenfold			
44	Helpless	 m.0l5svt	Diamond Head			
45	Left Out	 m.0d_r368	Riverside			
46	Egoist Hedonist	 m.0dql_rn	Riverside			
47	Technical Difficulties	 m.0txg20	Racer X			
48	Rust Never Sleeps	 m.0fvjggg	Kalmah			
50	Director's Cut	 m.0gdtjbl	Amaranthe			
51	Forever and a Day	 m.0v5ldf	The Offspring			
52	Scars	 m.0vfqmn	Blackfield			
53	Burning My Soul	 m.0lj3bl	Dream Theater			
55	The Small Print	 m.012ctc5	Muse			
56	Fragile Dreams	 m.0pgfjc	Anathema			
57	Farther Than The Sun	 m.0wt43vt	Alter Bridge			
58	Cry A River	 m.0wt2bsw	Alter Bridge			
59	The Uninvited	 m.0wt2g3f	Alter Bridge			
60	Bleed It Dry	 m.0wtfycm	Alter Bridge			
61	The Baying of the Hounds	 m.0143xrg	Opeth			
62	Cemetery Gates	 m.0rq837	Pantera	Male	1964-02-03	Santiago de Querétaro
63	I'll Cast a Shadow	 m.0mlyss	Pantera	Male	1964-02-03	Santiago de Querétaro
64	Yesterday Don't Mean Shit	 m.0ldnv9	Pantera	Male	1964-02-03	Santiago de Querétaro
67	Illuminated	 m.0rftt56	Hurts			
68	Sword Chant	 m.0yjlxq	Ensiferum			
69	Battle Song	 m.019h6g1	Ensiferum			
70	Treacherous Gods	 m.019h6fm	Ensiferum			
71	Abandoned	 m.019h6f5	Ensiferum			
72	Prediction of Warfare	 m.01c_ztc	Amon Amarth			
73	The Psalm of Lydia	 m.013hhjl	Nevermore			
74	Sell My Heart For Stones	 m.013hhjc	Nevermore			
75	Message to Harry Manback II	 m.0ljw1_	Tool			
76	Dreaming Light	 m.010sr5y8	Anathema			
77	Otherside	 m.011qlkz	Red Hot Chili Peppers			
78	Nienawiść	 m.0pn2j_	Myslovitz			
79	Sentient 6	 m.013hhhq	Nevermore			
80	Clairvoyant Disease	 m.0rnvv7	Avenged Sevenfold			
81	Get the Lead Out	 m.0nc8v9	Aerosmith			
82	All Around the World (reprise)	 m.0lw5z_	Oasis			
83	Incantations Of The Apprentice	 m.0nfzrs	Symphony X			
84	Alter Mann	 m.0ld_v8	Rammstein			
85	We Will Rock You	 m.0y883t	Queen			
86	Stronger Than All	 m.0rbxtg	Hammerfall			
87	Strip the Soul	 m.0nc_w8	Porcupine Tree			
88	My Ashes	 m.0fyplt7	Porcupine Tree			
89	Wedding Nails	 m.0nc_v5	Porcupine Tree			
90	Gravity Eyelids	 m.0nc_tz	Porcupine Tree			
91	Fast As a Shark	 m.0p5ts6	Accept			
92	Day 69	 m.018rq09	Decapitated			
93	Long Road to Ruin	 m.0dnc5kw	Foo Fighters			
94	Floods	 m.0ldvtq	Pantera	Male	1964-02-03	Santiago de Querétaro
95	Suicide Note Pt. II	 m.010t5vqp	Pantera	Male	1964-02-03	Santiago de Querétaro
96	Use My Third Arm	 m.0sh_lp	Pantera	Male	1964-02-03	Santiago de Querétaro
97	No Good (Attack the Radical)	 m.0v7g4r	Pantera	Male	1964-02-03	Santiago de Querétaro
98	Alcohaulin' Ass	 m.0d_vvk4	Hellyeah			
99	Fading Like A Flower	 m.0lz7bs	Roxette			
100	HELLYEAH	 m.0d_vvl8	Hellyeah			
101	Lyla	 m.0127dy4	Oasis			
102	Sadness and Hate	 m.0z2xc7	Wintersun			
103	Supa Scoopa and Mighty Scoop	 m.0lndz5	Kyuss			
104	Gardenia	 m.0lndyr	Kyuss			
105	Fatso Forgotso	 m.0vrg6m	Kyuss			
106	Northern Comfort	 m.0lr5pp	Children of Bodom			
107	You're My Best Friend	 m.010fdk1	Queen			
108	Was It Worth It?	 m.0rf45rw	Children of Bodom			
109	Banned from Heaven	 m.0dmvtmx	Children of Bodom			
110	Blooddrunk	 m.0dps22h	Children of Bodom			
111	Hellhounds on My Trail	 m.0dps23h	Children of Bodom			
112	Cloudy Now	 m.0vfqnj	Blackfield			
113	Lake Bodom	 m.011sbt5	Children of Bodom			
114	Lifelines	 m.0qx9df	a-ha			
115	The Curtain Falls	 m.0zddzq	Riverside			
116	Orange Crush	 m.0rwdg5	R.E.M.			
117	Blue Velvet	 m.0pn2q0	Myslovitz			
119	Death Whispered a Lullaby	 m.0ps49f	Opeth			
120	She Has No Time	 m.010d2nb	Keane			
121	The Invisible Man	 m.0lh8w4	Queen			
122	Dirge for November	 m.0n1n0c	Opeth			
123	Misanthrope	 m.0nkx34	Death			
124	Sacred Serenity	 m.0nkx28	Death			
125	1,000 Eyes	 m.0nkx2h	Death			
126	Entrapment	 m.012pyps	Meshuggah			
127	Full Circle	 m.0pd5sl	Aerosmith			
129	Some Day	 m.0f65631	Blackfield			
130	Ameno	 m.0122vs2	Era			
131	Sweet Home Chicago	 m.0zjq_h	The Blues Brothers			
132	Dosed	 m.0nkxp9	Red Hot Chili Peppers			
133	Back in the Saddle	 m.0n8vpk	Aerosmith			
134	Torture Me	 m.01bchb0	Red Hot Chili Peppers			
135	Miss the Misery	 m.0rj03kg	Foo Fighters			
136	Perfect Strangers	 m.0n5gw6	Deep Purple			
139	Windowpane	 m.0ps48_	Opeth			
140	Reckoning Day	 m.0qy844				
141	Trial of Tears	 m.0lj3cx	Dream Theater			
142	Soul Wars	 m.0nndhj6	AWOLNATION			
143	Megalithic Symphony	 m.0nlp5v7	AWOLNATION			
144	Hail and Kill	 m.0my3w7	Manowar			
145	Insurgentes	 m.0fv5vqw	Steven Wilson	Male	1967-11-03	Kingston upon Thames
146	Soul Bleed	 m.017h8ct	Damageplan			
148	Biotech Is Godzilla	 m.0lqfpn	Sepultura			
149	Electric Hellfire	 m.0_z3jd	Black Label Society			
150	Say What You Will	 m.0_z3hz	Black Label Society			
151	Suicide Messiah	 m.0_z3gn	Black Label Society			
153	New Religion	 m.01dbkvp	Black Label Society			
154	Forever Down	 m.0_z3gw	Black Label Society			
155	Read Between The Lies	 m.0m73cc	Slayer			
156	Slave Called Shiver	 m.01cymj9	Porcupine Tree			
157	Bullets Are Blind	 m.0fvjggt	Kalmah			
158	Changing of the Guards	 m.0nqr03	Bob Dylan	Male	1941-05-24	Duluth
159	Better not to Tell	 m.0fvjgg7	Kalmah			
160	Godeye	 m.0fvjgfv	Kalmah			
161	Psycho Holiday	 m.0lxy7t	Pantera	Male	1964-02-03	Santiago de Querétaro
162	Sex Rap	 m.0z92f9	Red Hot Chili Peppers			
163	Catholic School Girls Rule	 m.0tyb2g	Red Hot Chili Peppers			
164	Battle Ship	 m.0z92dn	Red Hot Chili Peppers			
165	Blackeyed Blonde	 m.0z92d6	Red Hot Chili Peppers			
166	Down The Slopes Of Death	 m.0ns8xb	Amon Amarth			
167	Versus The World	 m.0ns8wx	Amon Amarth			
168	Where Silent Gods Stand Guard	 m.0ns8wp	Amon Amarth			
169	Freaky Styley	 m.0z92c_	Red Hot Chili Peppers			
170	Nevermind	 m.0z92cs	Red Hot Chili Peppers			
171	Bloodshed	 m.0ns8xs	Amon Amarth			
172	Jungle Man	 m.0ly9jg	Red Hot Chili Peppers			
173	Sir Psycho Sexy	 m.0lf2yh	Red Hot Chili Peppers			
174	Fatal If Swallowed	 m.012pkfb	Overkill			
175	Shallow	 m.012fgdg	Porcupine Tree			
177	Limbs	 m.01bsddd	Agalloch			
178	Lesson Learned	 m.0dmxk5c	Alice in Chains			
179	Fire Above, Ice Below	 m.01bsdf1	Agalloch			
180	She's Nubs	 m.0qf4mn	NOFX			
181	Idiots Are Taking Over	 m.0qf4mf	NOFX			
182	I'm Eighteen	 m.016xv64	Anthrax			
184	Gotta Serve Somebody	 m.0lhwfq	Bob Dylan	Male	1941-05-24	Duluth
185	You're Bleeding	 m.0l2lwp	NOFX			
186	Soul Doubt	 m.0l2lw0	NOFX			
187	I Shall Be Released	 m.014k7fn	Bob Dylan	Male	1941-05-24	Duluth
188	The Great Darkness	 m.0dwfktj	Arch Enemy			
189	All Along the Watchtower	 m.0lhwcz	Bob Dylan	Male	1941-05-24	Duluth
190	Sleeping Stars	 m.0z2xb4	Wintersun			
191	Hate Worldwide	 m.0fw3g27	Slayer			
192	Animal (Fuck Like A Beast)	 m.0p35j3	W.A.S.P.			
193	Radioactive	 m.0ftv12q	Kings of Leon			
194	Veilburner	 m.0q87g1f	Enslaved			
195	Death in the Eyes of Dawn	 m.0qbcddw	Enslaved			
196	Some Weird Sin	 m.01459ww	Iggy Pop	Male	1947-04-21	Muskegon
197	Reeko	 m.0l1d97	NOFX			
198	Party Enema	 m.0pyxmz	NOFX			
199	Linoleum	 m.0169x6b	NOFX			
200	Injection	 m.01c6b1s	Rise Against			
201	Ah Yom	 m.0nmrxdx	John Frusciante	Male	1970-03-05	Astoria
202	Drones	 m.01c6b2w	Rise Against			
203	Lycanthrope	 m.0nm7_dy	+44			
204	Erotomania	 m.0mx7dw	Dream Theater			
205	You Take My Breath Away	 m.0f2zbbd	Queen			
206	Caught in a Mosh	 m.0nccp2	Anthrax			
207	Clash With Reality	 m.0lxy8x	Pantera	Male	1964-02-03	Santiago de Querétaro
208	Shattered	 m.0lxy8p	Pantera	Male	1964-02-03	Santiago de Querétaro
209	Heresy	 m.0fy6b82	Pantera	Male	1964-02-03	Santiago de Querétaro
210	Primal Concrete Sledge	 m.0lxy7l	Pantera	Male	1964-02-03	Santiago de Querétaro
211	No Twilight Within the Courts of the Sun	 m.0fv5vp8	Steven Wilson	Male	1967-11-03	Kingston upon Thames
212	Carnival Is Forever	 m.0nmjzjl	Decapitated			
213	Yellow Submarine	 m.0l1b9g	The Beatles			
214	I Am the Walrus	 m.0149h8_	The Beatles			
216	Oildale (Leave Me Alone)	 m.0fxwbnv	Korn			
217	Fall in Love With Me	 m.0l1gyx	Iggy Pop	Male	1947-04-21	Muskegon
218	Neighborhood Threat	 m.0l1gzb	Iggy Pop	Male	1947-04-21	Muskegon
219	The Gathering of the Clouds	 m.0qdf2dv	Anathema			
220	Ænema	 m.0lfbqw	Tool			
221	Remember Me Lover	 m.0dv3tcl	Porcupine Tree			
222	I Am Hell (Sonata in C#)	 m.0nnpxy1	Machine Head			
223	Isolation	 m.0ncx22	Kyuss			
224	Lost Control	 m.012x6zc	Anathema			
225	Death and All His Friends	 m.05nlprb	Coldplay			
226	Iron Fist	 m.0py850	Motörhead			
228	Vasaris	 m.0f1kgnn	Alina Orlova	Female	1988-06-28	Visaginas
229	Post Mortem	 m.0dyfm77	God Is An Astronaut			
230	Mr. Tinkertrain	 m.0mysxk	Ozzy Osbourne	Male	1948-12-03	Marston Green
231	You Know You're Right	 m.0nft8s	Nirvana			
232	Autobahn	 m.0qq06m	Anberlin			
233	Bicycle Race	 m.0my9tb	Queen			
234	Waiting In Vain	 m.012x612n	Bob Marley	Male	1945-02-06	Nine Mile
235	Ordinary Story	 m.0pbpm1	In Flames			
236	New Life	 m.0128y4b	Depeche Mode			
237	Reroute to Remain	 m.0wy0wh	In Flames			
238	Free Fall	 m.0wy0yp	In Flames			
239	You Were But a Ghost in My Arms	 m.0n0jtc	Agalloch			
240	Punch Me I Bleed	 m.0149l08	Children of Bodom			
241	Stormbringer	 m.0lrmm5	Deep Purple			
242	As Embers Dress The Sky	 m.0vnvjk	Agalloch			
243	Timeless	 m.0nj51z	In Flames			
244	Subterranean	 m.0wv0xj	In Flames			
245	The Suburbs (Continued)	 m.0nng2fq	Arcade Fire			
246	We Used to Wait	 m.0__b3fy	Arcade Fire			
247	Suburban War	 m.0xlx_gn	Arcade Fire			
248	Modern Man	 m.0nl7dhx	Arcade Fire			
250	The Storm Before the Calm	 m.0q70hj4	Anathema			
251	Severed Reality	 m.0f20w9g	Warbringer			
252	Be Still and Know	 m.0nm_hjq	Machine Head			
253	Over the Mountain	 m.0vtmwx	Ozzy Osbourne	Male	1948-12-03	Marston Green
254	Warheart	 m.0149kfg	Children of Bodom			
255	Get In The Ring	 m.023hpcl	Guns N' Roses			
256	Rose Tattoo	 m.0rf09sp	Dropkick Murphys			
257	Shemhamforash	 m.0g8xvvn	Behemoth			
258	Jimmy the Exploder	 m.0m7k2r	The White Stripes			
259	M+M's	 m.01649zz	blink-182			
260	Feeling This	 m.019bwpn	blink-182			
261	Don't Trust	 m.0ml5cv	Kreator			
262	Metal Militia	 m.0dwm6f2	Metallica			
264	Angels Walk Among Us	 m.0fsvfq8	Anathema			
265	Summernight Horizon	 m.0fsvfq4	Anathema			
266	Zombie Stomp	 m.0mysz9	Ozzy Osbourne	Male	1948-12-03	Marston Green
268	Wake Up Dead	 m.0wjcpv				
269	One of the Few	 m.012x703	Anathema			
270	Repossession	 m.0shr411	Municipal Waste			
271	Love and Luxury	 m.0dnt8r1	Korn			
272	Gullaldr	 m.0qdcklf	Burzum			
273	Closure	 m.0ps49n	Opeth			
274	Clenching the Fists of Dissent	 m.0f0bgv4	Machine Head			
275	Turn It Again	 m.01b7k5r	Red Hot Chili Peppers			
276	Skeleton Christ	 m.01d5d3n	Slayer			
277	Catalyst	 m.01d5d3f	Slayer			
278	Hallowed Point	 m.0tmr28	Slayer			
279	Dead Skin Mask	 m.0tmr21	Slayer			
280	Expendable Youth	 m.0ln0yy	Slayer			
281	So Much I	 m.01b7k52	Red Hot Chili Peppers			
282	Wicked World	 m.0lm772	Black Sabbath			
283	Make You Feel Better	 m.01b7k4n	Red Hot Chili Peppers			
284	Readymade	 m.01b7k46	Red Hot Chili Peppers			
285	Desecration Smile	 m.01b7k33	Red Hot Chili Peppers			
286	Wet Sand	 m.01bchc3	Red Hot Chili Peppers			
287	Feelings	 m.0ldnk3	The Offspring			
288	Far Away	 m.016535y	Anathema			
289	Cabron	 m.0n8_g7	Red Hot Chili Peppers			
290	I Could Die for You	 m.0m_xd5	Red Hot Chili Peppers			
291	Alternative 4	 m.012x6_0	Anathema			
292	Hushabye	 m.0dnt8rq	Korn			
293	Death Will Never Conquer	 m.0dr8j83	Coldplay			
294	Too Much to Ask	 m.0mtwpb	Avril Lavigne	Female	1984-09-27	Belleville
295	Legions	 m.0nqtcc	Savatage			
296	Legacy of Kings	 m.01bf_ch	Hammerfall			
297	Glory to the Brave	 m.0lv8mb	Hammerfall			
298	Parasomnia	 m.0dqkzh_	Riverside			
299	Into the Dead Sky	 m.0s4lg5	At the Gates			
300	Modern Crusaders	 m.0lxx6b	Enigma			
301	Callas Went Away	 m.0lm4lw	Enigma			
302	Cold Desert	 m.0dys_gj	Kings of Leon			
304	Notion	 m.0dys_gm	Kings of Leon			
305	Twilight of the Thunder God	 m.0dss033	Amon Amarth			
306	Jazz Thieves	 m.0dxpd1w	Depeche Mode			
308	Spit It Out	 m.0p8p0z	Slipknot			
309	Emit Remmus	 m.0n8qdv	Red Hot Chili Peppers			
310	Dismiss the Cynics	 m.0wy0yg	In Flames			
311	Egonomic	 m.0wy0y0	In Flames			
312	Dawn of a New Day	 m.0wy0xt	In Flames			
313	Make You Smile	 m.0nkyj0s	+44			
314	Weatherman	 m.0nlyq_9	+44			
317	Rock You All Around the World	 m.0dpmqlh	Judas Priest			
318	Wild One	 m.0f44nrj	Dio	Male	1988-05-31	Amsterdam
319	Dark City	 m.0f4bf3g	Machinae Supremacy			
320	Summerland	 m.0dmv976	Lunatic Soul			
321	Weeping Willow	 m.0lq92f	The Verve			
322	The Metal	 m.0dtn6_h	Tenacious D			
323	Dream of Mirrors	 m.0lj9dm	Iron Maiden			
324	The Right To Go Insane	 m.0dpmwqh				
325	Twilight Zone	 m.010nwz3	Iron Maiden			
326	Genghis Khan	 m.0xn617	Iron Maiden			
327	Wrathchild	 m.0lrtn3	Iron Maiden			
328	How Many More Times	 m.0bwpzt	Led Zeppelin			
329	Strange News From Another Star	 m.0pxrqy	Blur			
330	Chinese Bombs	 m.0lvqdx	Blur			
331	Hole to Feed	 m.0g8ttrq	Depeche Mode			
332	Master of Revenge	 m.0m1yds	Manowar			
333	Fighting the World	 m.0tk7xq	Manowar			
334	Lunar Strain	 m.012z54k	In Flames			
335	Death at One's Elbow	 m.0m0cdv	The Smiths			
336	Death of a Disco Dancer	 m.0m0ccj	The Smiths			
337	Tragedy and Triumph	 m.0nmzqmw	Iced Earth			
339	Kill You	 m.0f7rx2p	Dethklok			
340	Blood Ocean	 m.0dy69f6	Dethklok			
341	Deadly Intentions	 m.0vvkcl	Obituary			
343	Gates to Hell	 m.0yh4c1	Obituary			
344	Immortal Visions	 m.0mvnhm	Obituary			
345	Not Of This God	 m.0fvm22d	Slayer			
346	Beauty Through Order	 m.0fw3g2n	Slayer			
347	Internal Bleeding	 m.0mvngr	Obituary			
348	Freaking Out	 m.0lx3pp	Adema			
349	Giving In	 m.010z1vf	Adema			
350	Introspectre	 m.015njkf	Depeche Mode			
351	Dreaming of Me	 m.0tbjzk	Depeche Mode			
352	Scars Of The Old Stream	 m.0pgfb7	Anathema			
354	Everwake	 m.0mjb8z	Anathema			
355	They (Will Always) Die	 m.0pgf9l	Anathema			
356	Sweet Tears	 m.0pgf94	Anathema			
357	Can't Stop Lovin' You	 m.017y67s	Van Halen			
358	Master Exploder	 m.0f0dr_t	Tenacious D			
359	King Of Terrors	 m.0tw3cy	Symphony X			
361	Taxman	 m.0mlx7k	The Beatles			
362	Black or White	 m.0f186n4	Michael Jackson	Male	1958-08-29	Gary
363	Leeches	 m.016v553	In Flames			
364	Are We the Waiting	 m.0ypgh0	Green Day			
365	Give Me Novacaine	 m.0ypghg	Green Day			
366	Free Will Sacrifice	 m.0dyvk11	Amon Amarth			
367	Dream About Me	 m.012r_f1	Moby	Male	1965-09-11	Harlem
369	Holidays in the Sun	 m.0fqww_y	Sex Pistols			
370	Bodies	 m.015q_my	Sex Pistols			
371	On Your Knees	 m.0sqhsh	W.A.S.P.			
372	I Wanna Be Somebody	 m.0p35jb	W.A.S.P.			
373	B.A.D.	 m.0vdwxy	W.A.S.P.			
374	Welcome to Jamrock	 m.011wxsw	Damian Marley	Male	1978-07-21	Kingston
375	Crusader	 m.0n1_fx	Saxon			
376	Reborn	 m.0mb6br	Slayer			
377	Altar Of Sacrifice	 m.0mb6b2	Slayer			
378	Merciless Cult	 m.010g6_d	DIR EN GREY			
379	I've Seen Enough	 m.0dss7x0	Cold War Kids			
380	Ruf In Den Wind	 m.0dth45q	Equilibrium			
381	Heiderauche	 m.0dth45y	Equilibrium			
382	Blut im Auge	 m.0dth456	Equilibrium			
383	Sassafras Roots	 m.0pr8t8	Green Day			
384	Meat Is Murder	 m.0ngybp	The Smiths			
385	Dirty Woman	 m.0nmm6lv	Pain			
387	My Heart Is an Apple	 m.0x0mtg	Arcade Fire			
388	I'm Sleeping in a Submarine	 m.0dzmlb6	Arcade Fire			
390	Patricia The Stripper	 m.0f1y84s	The Wombats			
391	Rusholme Ruffians	 m.0ngy94	The Smiths			
392	I Want the One I Can't Have	 m.0ngy9c	The Smiths			
393	New Damage	 m.0l1k_c	Soundgarden			
394	Stones of Sorrow	 m.0l6v28	Nile			
395	Without The Money	 m.0jxnh73	The Hives			
396	Ride the Dragon	 m.0l_lpk	Manowar			
397	Gargarismo	 m.01d3vpp	Truckfighters			
398	Desert Cruiser	 m.01d3vpg	Truckfighters			
399	Scavenger of Human Sorrow	 m.0lyqb9	Death			
400	Painkiller	 m.0dvdfxj	Death			
401	A Moment of Clarity	 m.0lyqcv	Death			
402	To Forgive Is To Suffer	 m.0qk94p	Death			
403	Story To Tell	 m.0lyqbz	Death			
404	Beat on the Brat	 m.0mrmxg	Ramones			
405	A Day in the Life	 m.0dv7cgt	The Beatles			
406	Map of the Problematique	 m.01cb_gz	Muse			
407	Unit 731	 m.0fv05g8	Slayer			
408	Youthanasia	 m.0lq6n3				
410	Weekend Warrior	 m.0mf130	Iron Maiden			
411	Chains of Misery	 m.0mksc_	Iron Maiden			
414	No Fear for the Setting Sun	 m.0dyvk1g	Amon Amarth			
415	The Lost Child	 m.0q87h11	Anathema			
416	Uncle Jonny	 m.01f0h7g	The Killers			
417	Burns Like a Buzzsaw Blade	 m.0txmj4	Annihilator			
418	Arlandria	 m.0nncsyj	Foo Fighters			
419	My List	 m.01f0h7x	The Killers			
420	Smile Like You Mean It	 m.010hth2	The Killers			
421	Nothing Left to Say / Rocks	 m.0sjw5pb	Imagine Dragons			
422	Tir Nan Og	 m.0dp9q6g	Alcest			
423	Caught Somewhere In Time	 m.0lknr5	Iron Maiden			
424	Alexander the Great	 m.0lknsq	Iron Maiden			
425	Whose Life (Is It Anyways?)	 m.0njczsd				
426	Lollipop (Candyman)	 m.0mnr2t	Aqua			
427	Not Now	 m.019_0tr	blink-182			
428	Awaken	 m.0dql0hw	Dethklok			
429	Forever Today	 m.0vynjv	Tiësto	Male	1969-01-17	Breda
430	Never Dead	 m.0nm74bn				
432	Slicker Drips	 m.0m7k5t	The White Stripes			
434	Sink the Pink	 m.0n34f7	AC/DC			
435	D.T.	 m.01f7cdy	AC/DC			
436	Back in Business	 m.01f7cd1	AC/DC			
437	Night Prowler	 m.01f7bmk	AC/DC			
438	Beating Around the Bush	 m.010j8zk	AC/DC			
440	Nick of Time	 m.01f7chk	AC/DC			
441	Move Over	 m.0lmvm0	Spice Girls			
442	Sudden Death	 m.0j2grhl				
443	Fire Your Guns	 m.0lqx4r	AC/DC			
444	AGITATED SCREAMS OF MAGGOTS	 m.0dmqzqj	DIR EN GREY			
445	Into the Lungs of Hell	 m.0xt3lg				
446	We Called It America	 m.0dpmpfv	NOFX			
447	First Call	 m.0dpmphr	NOFX			
448	Suits and Ladders	 m.0dpmpg6	NOFX			
449	Use the Man	 m.0y9qrp				
450	Failures	 m.0z18gq	Joy Division			
451	Restless Oblivion	 m.0rtrfk	Anathema			
452	The Disintegrators	 m.0m0s8r				
453	Stay in the Shade	 m.0swdkz	José González	Male	1978-07-31	Gothenburg
454	Defender	 m.0my3v4	Manowar			
455	That Famous Ol' Spiced	 m.0dpccw9	Alestorm			
456	Climbatize	 m.0lddh6	The Prodigy			
457	Jazz Police	 m.0lzrqx	Leonard Cohen	Male	1934-09-21	Montreal
458	Everybody Knows	 m.0lnsl1	Leonard Cohen	Male	1934-09-21	Montreal
459	Cry For Eternity	 m.018b0tk	DragonForce			
460	Storming The Burning Fields	 m.018b0sx	DragonForce			
461	Revolution Deathsquad	 m.018b0sp	DragonForce			
462	Die By The Sword	 m.0q9cy69	DragonForce			
463	Wings Of Liberty	 m.0rf2h2f	DragonForce			
464	Wildest Dreams	 m.0rh_gd	Iron Maiden			
465	The Gods Made Heavy Metal	 m.0qwbtr	Manowar			
466	Magic Dance	 m.0w3xt_	David Bowie	Male	1947-01-08	Brixton
467	Ghosts Of War	 m.0m73c4	Slayer			
468	Cleanse The Soul	 m.0m73cl	Slayer			
469	How Heavy This Axe	 m.0dt29n5	The Sword			
470	The Sundering	 m.0dt29mg	The Sword			
471	Iron Swan	 m.018tp_t	The Sword			
473	In The Court Of Jarisleif	 m.0f2d6d6	Turisas			
474	Fight Until We Die	 m.0mrdn4	Manowar			
475	House of Death	 m.0mrdmy	Manowar			
476	An American Trilogy	 m.01513yr	Manowar			
478	Nessun Dorma	 m.0mrdld	Manowar			
479	Brighter Than a Thousand Suns	 m.01d29x_	Iron Maiden			
480	One Shot at Glory	 m.0p66v0	Judas Priest			
481	Take a Bow	 m.01cb_g9	Muse			
482	Kill With Power	 m.0l5pj1	Manowar			
483	Lord of Light	 m.01d29z9	Iron Maiden			
484	For the Greater Good of God	 m.01d29z2	Iron Maiden			
485	Different World	 m.01d29xk	Iron Maiden			
486	Vagabonds	 m.01cgft4	New Model Army			
487	Existence In Progress	 m.0tsv7j	Icon of Coil			
488	Rime of the Ancient Mariner	 m.0mfgnl	Iron Maiden			
489	The Duellists	 m.0mfgmy	Iron Maiden			
490	We Want Revolution	 m.0nlwrr	Covenant			
491	Prometheus	 m.0nlwqw	Covenant			
492	Call the Ships to Port	 m.016mfzz	Covenant			
493	The Huntmaster	 m.0f8f_rs	Alestorm			
495	Airbag	 m.0lnx1v	Radiohead			
496	From Here to Eternity	 m.0q1ygz	Iron Maiden			
497	To Tame a Land	 m.0y_hj2	Iron Maiden			
498	Flight of Icarus	 m.013x0bb	Iron Maiden			
499	FantasMic	 m.0mbqrz	Nightwish			
500	I.M.E.	 m.0dprc34	Helloween			
501	As Long as I fall	 m.0dprc1_	Helloween			
502	Adios	 m.0nt_zc	Rammstein			
503	Zwitter	 m.0lppb0	Rammstein			
504	Spieluhr	 m.0lpp9t	Rammstein			
505	Whisper	 m.0vcfms	Evanescence			
506	Tourniquet	 m.0q1qms	Evanescence			
507	Journeyman	 m.0rfllk	Iron Maiden			
508	Face In The Sand	 m.0rfll3	Iron Maiden			
509	Dance of Death	 m.0rflk7	Iron Maiden			
510	You Are Young	 m.0jbb06_	Keane			
511	Sea Fog	 m.0jbb0b2	Keane			
513	Ladies of the World	 m.0f3mx77	Flight of the Conchords			
514	Think About It	 m.0f3mx7w	Flight of the Conchords			
515	Don't Get Lost in Heaven	 m.012r9r5	Gorillaz			
518	Echoes of Mine	 m.0nmrq0r	M83			
519	Steve McQueen	 m.0nmdsxc	M83			
520	Fountains	 m.0slcblx	M83			
521	Splendor	 m.0nnsvb1	M83			
522	Another Wave from You	 m.0np1vsr	M83			
